toy_id,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
0,0.005281957895248078,0.10958474336319621,0.2507880871953127,0.3138846875917875,11.499999999999934,0.00831148040728846,0.065,0.18290112927613658,50.05,0.4117725432030337,3.741140988249739e-25
1,0.005048280220440901,0.12812540993387111,0.2949407715183544,0.3091383609220285,11.499999999999998,0.00714692626971345,0.065,0.18644866711083413,50.05,0.40338183535519256,1.6974331259038957e-22
2,0.004822713410403316,0.1264691497274948,0.29025369112734173,0.3115654809568942,11.499999999999998,0.006053379595340663,0.065,0.19060199314176632,50.05,0.39687487214733225,5.8988388005461454e-24
3,0.005235528887735699,0.10023845711739578,0.2280757573465669,0.31866459272962405,11.499999999999527,0.008078637018419552,0.065,0.18355146113445742,50.05,0.40999393285841634,4.477059736621648e-34
4,0.005033661015999414,0.1202837893279022,0.2759505160298981,0.311881299672016,11.499999999999998,0.0070747839200073406,0.065,0.18669574742223372,50.05,0.4029110991261571,3.3287700600273586e-23
5,0.005225556555699298,0.09892678423022966,0.22487833520200687,0.31945543459465814,11.499999999986901,0.008028645921890102,0.065,0.18369482817074317,50.05,0.40961954180247534,2.6025042676712014e-30
6,0.005039234984828124,0.10625536108594605,0.24206530007076751,0.3176352269277519,11.4999999998942,0.007102274830156601,0.065,0.1866011801106667,50.05,0.4030897835452516,1.2687072318219446e-21
7,0.005466644420320147,0.1133716708074447,0.2604125554313213,0.3108863892338502,11.499999999999972,0.009239725286435869,0.065,0.18055229219048521,50.05,0.4192957118277502,8.287738489232483e-23
8,0.004638381808324549,0.14687594551830144,0.33895188536586984,0.3071355028857042,11.499999999999998,0.005198558518113372,0.065,0.19461008975523864,50.05,0.39299261436887056,5.643652590659556e-25
9,0.005396463499393671,0.08179479164683547,0.1839146190481734,0.3287638686826376,11.499999999997536,0.008887024798151111,0.065,0.18140163489138258,50.05,0.41635804443708935,4.960556112303654e-24
10,0.005323849367571567,0.13492331562941198,0.3121214979760454,0.3052191043023529,11.499999999999998,0.00852224990230804,0.065,0.1823333445843236,50.05,0.413411496344085,5.597145539345058e-16
11,0.005385543944173503,0.08239923216747669,0.18534800501093318,0.3284160640133317,11.49999999436533,0.00883200337647276,0.065,0.18153916317057214,50.05,0.4159114514710958,5.579601424487364e-27
12,0.005346815290161757,0.09719067052276696,0.2210048287769227,0.3191791300034458,11.49999999999999,0.008637225462178431,0.065,0.18203495688576435,50.05,0.4143394559988115,3.439472169614412e-19
13,0.005120658855516746,0.10711994844366948,0.24438918248386896,0.3164329661255269,11.499999994098484,0.00750547895662241,0.065,0.1852725351212301,50.05,0.40581781110802756,4.4174733515842005e-16
14,0.0056789668380473534,0.09109716497819531,0.20709009135020465,0.31941548110620943,11.49999999824392,0.010300891013756669,0.065,0.17826876282160245,50.05,0.4286511292409499,2.0299620654040656e-20
15,0.005251185302390948,0.11524654020093332,0.2643875713431908,0.31190180964713676,11.499999999999996,0.008157395816580428,0.065,0.18332715902690785,50.05,0.41058158628242947,1.6752671911516545e-20
16,0.00559704774276003,0.09778189160797986,0.2230549760296668,0.31654364842583865,11.499999999999998,0.009893026873589809,0.065,0.17910168352588265,50.05,0.424967595527935,5.73043214502109e-22
17,0.00562738611031243,0.09475975898906833,0.21582249034949622,0.31784372871349453,11.499999999989988,0.01004435963340644,0.065,0.17878649949638362,50.05,0.4263220280405195,1.227024179046227e-21
18,0.005219688399300947,0.1174670520983686,0.2696681493708522,0.311340725781028,11.499999999999998,0.00799953003500479,0.065,0.18377758324073612,50.05,0.4093937788593172,1.0783444379350364e-23
19,0.00535811735611917,0.12178073245972049,0.280457077150267,0.3087905365262098,11.499999999999998,0.008694507261906443,0.065,0.1818856093088067,50.05,0.414786161465321,1.378266717350088e-14
20,0.0046702323131656495,0.12648412215362848,0.2897886648185375,0.31296559025606235,11.499999999999998,0.005343277206664369,0.065,0.19387334575307086,50.05,0.3935560097081235,4.6826089358913524e-23
21,0.005002426815461532,0.11019900024926414,0.2514879416773814,0.31618953366067215,11.499999999933202,0.006921383085258145,0.065,0.18723138413782545,50.05,0.4019202756128748,3.2528412479034443e-23
22,0.005222875031070235,0.09633470240405953,0.21860568840457806,0.3209146381641541,11.499999999945242,0.00801519618633888,0.065,0.18373367623108383,50.05,0.40951956041162235,3.228718874813215e-30
23,0.005162978708080713,0.09803026731515414,0.22253881490737157,0.32059138172711626,11.499999999992697,0.0077158269561459145,0.065,0.18462103407727162,50.05,0.407322469323324,4.67542939264216e-29
24,0.004835218296399838,0.13704888617726937,0.31585663859669394,0.3081882045715873,11.499999999999998,0.0061128451987562706,0.065,0.19035060014188543,50.05,0.3971867234030621,1.7419597752776852e-23
25,0.005198148049772541,0.10131182624983856,0.23056795884097195,0.31848396893512865,11.49999999999922,0.0078914727766063,0.065,0.184094529443494,50.05,0.40860133050925096,8.584100745598352e-29
26,0.004997722471370069,0.12358382709178023,0.2838189347933724,0.31103100496507685,11.499999999999998,0.006898310617059917,0.065,0.18731351188995,50.05,0.40177446359419416,8.395260794621788e-23
27,0.0053907167394078885,0.10607484557976858,0.24258922908840724,0.3144463938590202,11.499999999999952,0.00885806597193206,0.065,0.18147386848317093,50.05,0.4161227627855459,1.9097413240841453e-25
28,0.005110695479625317,0.10382426532675401,0.23639573209395107,0.3180965809672659,11.49999999999827,0.007455432564659261,0.065,0.18543462772598607,50.05,0.40548689809313415,1.1910035306234446e-22
29,0.00531951125828625,0.12168619822416654,0.2801285999824774,0.30910770431559625,11.499999999999998,0.008500367187021173,0.065,0.18239153001071215,50.05,0.4132409508256156,5.177966869300808e-21
30,0.005265237611214192,0.11319512551737212,0.2594680874823429,0.3125700123676753,11.499999999999998,0.008227553966054929,0.065,0.1831325580157115,50.05,0.41112674371747737,5.177389481429952e-21
