mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm,experimental_scale,normalisation_reference
ArN2,model,0.1,1,300.0,6.608356135798121e-18,1.0,none
ArN2,model,0.1,1,300.25012506253125,1.228825554216186e-17,1.0,none
ArN2,model,0.1,1,300.5002501250625,2.2748611780401905e-17,1.0,none
ArN2,model,0.1,1,300.7503751875938,4.1926386633185753e-17,1.0,none
ArN2,model,0.1,1,301.00050025012507,7.692860219532463e-17,1.0,none
ArN2,model,0.1,1,301.2506253126563,1.4052581681079575e-16,1.0,none
ArN2,model,0.1,1,301.5007503751876,2.555596390051501e-16,1.0,none
ArN2,model,0.1,1,301.75087543771883,4.626965745353826e-16,1.0,none
ArN2,model,0.1,1,302.00100050025014,8.340040762697588e-16,1.0,none
ArN2,model,0.1,1,302.2511255627814,1.4966075539175516e-15,1.0,none
ArN2,model,0.1,1,302.50125062531265,2.6737177747076994e-15,1.0,none
ArN2,model,0.1,1,302.7513756878439,4.755443916537836e-15,1.0,none
ArN2,model,0.1,1,303.0015007503752,8.420433216886135e-15,1.0,none
ArN2,model,0.1,1,303.25162581290647,1.4843819955692996e-14,1.0,none
ArN2,model,0.1,1,303.5017508754377,2.6051023518502416e-14,1.0,none
ArN2,model,0.1,1,303.751875937969,4.5516805512086456e-14,1.0,none
ArN2,model,0.1,1,304.00200100050023,7.917473688135243e-14,1.0,none
ArN2,model,0.1,1,304.25212606303154,1.3711007034566424e-13,1.0,none
ArN2,model,0.1,1,304.5022511255628,2.363850188458457e-13,1.0,none
ArN2,model,0.1,1,304.75237618809405,4.0573120929530957e-13,1.0,none
ArN2,model,0.1,1,305.0025012506253,6.933056704707328e-13,1.0,none
ArN2,model,0.1,1,305.25262631315655,1.1794484385645446e-12,1.0,none
ArN2,model,0.1,1,305.50275137568786,1.997565542522132e-12,1.0,none
ArN2,model,0.1,1,305.7528764382191,3.3681466052689244e-12,1.0,none
ArN2,model,0.1,1,306.0030015007504,5.65390889632719e-12,1.0,none
ArN2,model,0.1,1,306.2531265632816,9.448753003273932e-12,1.0,none
ArN2,model,0.1,1,306.5032516258129,1.572056161827592e-11,1.0,none
ArN2,model,0.1,1,306.7533766883442,2.6039311000999358e-11,1.0,none
ArN2,model,0.1,1,307.00350175087544,4.2939678727517786e-11,1.0,none
ArN2,model,0.1,1,307.2536268134067,7.049461832576147e-11,1.0,none
ArN2,model,0.1,1,307.50375187593795,1.1521817897853519e-10,1.0,none
ArN2,model,0.1,1,307.75387693846926,1.874795580186547e-10,1.0,none
ArN2,model,0.1,1,308.0040020010005,3.0370693276395697e-10,1.0,none
ArN2,model,0.1,1,308.25412706353177,4.898051657603379e-10,1.0,none
ArN2,model,0.1,1,308.504252126063,7.864296649437349e-10,1.0,none
ArN2,model,0.1,1,308.7543771885943,1.2570839568482525e-09,1.0,none
ArN2,model,0.1,1,309.0045022511256,2.0004907667295164e-09,1.0,none
ArN2,model,0.1,1,309.25462731365684,3.1693973410994392e-09,1.0,none
ArN2,model,0.1,1,309.5047523761881,4.999017970017939e-09,1.0,none
ArN2,model,0.1,1,309.75487743871935,7.849835887093337e-09,1.0,none
ArN2,model,0.1,1,310.0050025012506,1.2271688625870817e-08,1.0,none
ArN2,model,0.1,1,310.2551275637819,1.9099233921970008e-08,1.0,none
ArN2,model,0.1,1,310.50525262631317,2.9593439170090906e-08,1.0,none
ArN2,model,0.1,1,310.7553776888444,4.565021224970123e-08,1.0,none
ArN2,model,0.1,1,311.0055027513757,7.010645929008752e-08,1.0,none
ArN2,model,0.1,1,311.2556278139069,1.0718675841004923e-07,1.0,none
ArN2,model,0.1,1,311.50575287643824,1.631518906629902e-07,1.0,none
ArN2,model,0.1,1,311.7558779389695,2.472355712805398e-07,1.0,none
ArN2,model,0.1,1,312.00600300150074,3.7299041426899096e-07,1.0,none
ArN2,model,0.1,1,312.256128064032,5.602118055315258e-07,1.0,none
ArN2,model,0.1,1,312.5062531265633,8.376733775470714e-07,1.0,none
ArN2,model,0.1,1,312.75637818909456,1.2469959425089567e-06,1.0,none
ArN2,model,0.1,1,313.0065032516258,1.8480905155544372e-06,1.0,none
ArN2,model,0.1,1,313.25662831415707,2.7267750198318914e-06,1.0,none
ArN2,model,0.1,1,313.5067533766883,4.0053755821599e-06,1.0,none
ArN2,model,0.1,1,313.75687843921963,5.857402331542226e-06,1.0,none
ArN2,model,0.1,1,314.0070035017509,8.527755422696595e-06,1.0,none
ArN2,model,0.1,1,314.25712856428214,1.2360393226564033e-05,1.0,none
ArN2,model,0.1,1,314.5072536268134,1.7836010082091256e-05,1.0,none
ArN2,model,0.1,1,314.75737868934465,2.5623060476396984e-05,1.0,none
ArN2,model,0.1,1,315.00750375187596,3.6646471476628736e-05,1.0,none
ArN2,model,0.1,1,315.2576288144072,5.217965442132408e-05,1.0,none
ArN2,model,0.1,1,315.50775387693847,7.396701673403978e-05,1.0,none
ArN2,model,0.1,1,315.7578789394697,0.00010438614949449161,1.0,none
ArN2,model,0.1,1,316.00800400200103,0.00014666129780285708,1.0,none
ArN2,model,0.1,1,316.2581290645323,0.0002051426872070261,1.0,none
ArN2,model,0.1,1,316.50825412706354,0.0002856698634403363,1.0,none
ArN2,model,0.1,1,316.7583791895948,0.00039604148920299113,1.0,none
ArN2,model,0.1,1,317.00850425212604,0.0005466191131890449,1.0,none
ArN2,model,0.1,1,317.25862931465736,0.0007510983574947308,1.0,none
ArN2,model,0.1,1,317.5087543771886,0.0010274878189437708,1.0,none
ArN2,model,0.1,1,317.75887943971986,0.0013993437817582384,1.0,none
ArN2,model,0.1,1,318.0090045022511,0.001897317590802767,1.0,none
